Discovered 3965 test files (~42342 tests) under ['tests']; running with -j 8
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-46 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=http://127.0.0.1:1234/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #1: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:68 Empty response (no content or reasoning) — retry 1/3 in 0.0s (model=qwen3.8-27b)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-47 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=http://127.0.0.1:1234/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #2: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:257 Repeated empty response detected (model=qwen3.8-27b provider=custom:turbohaul-local finish_reason=stop) — skipping remaining retries
WARNING  agent.conversation_loop:turn_empty_response.py:269 Empty response after 1 retries — attempting fallback (model=qwen3.8-27b, provider=custom:turbohaul-local)
WARNING  agent.conversation_loop:turn_empty_response.py:114 Empty response (no content or reasoning) after 1 retries. No fallback available. model=qwen3.8-27b provider=custom:turbohaul-local
INFO     agent.conversation_loop:turn_finalizer.py:334 Turn ended: reason=empty_response_exhausted model=qwen3.8-27b api_calls=2/9223372036854775807 budget=2/9223372036854775807 tool_turns=0 last_msg_role=assistant response_len=7 session=20260908_021743_991d1d
_ TestRunConversation.test_explicit_turbohaul_empty_exhaustion_stays_local[custom-custom:turbohaul-local] _

self = <tests.run_agent.test_run_agent.TestRunConversation object at 0x7e2d10c9a250>
agent = <run_agent.AIAgent object at 0x7e2cfd2bbe10>, provider = 'custom'
requested_provider = 'custom:turbohaul-local'

    @pytest.mark.parametrize(
        ("provider", "requested_provider"),
        [
            ("custom:turbohaul-local", "custom:turbohaul-local"),
            ("custom", "custom:turbohaul-local"),
            ("Turbohaul Local", "custom"),
        ],
    )
    def test_explicit_turbohaul_empty_exhaustion_stays_local(
        self, agent, provider, requested_provider,
    ):
        """An explicit turbohaul-local selection must fail locally, not use cloud fallback."""
        self._setup_agent(agent)
        agent.model = "qwen3.8-27b"
        agent.provider = provider
        agent.requested_provider = requested_provider
        agent.base_url = "http://127.0.0.1:1234/v1"
        agent._model_explicitly_selected = True
        agent._fallback_chain = [
            {"provider": "nvidia", "model": "moonshotai/kimi-k2.5"},
        ]
        agent._fallback_index = 0
        agent._fallback_activated = False
        empty_resp = _mock_response(content=None, finish_reason="stop")
        agent.client.chat.completions.create.side_effect = [empty_resp] * 4
    
        with (
            patch.object(agent, "_persist_session"),
            patch.object(agent, "_save_trajectory"),
            patch.object(agent, "_cleanup_task_resources"),
            patch("agent.conversation_loop.jittered_backoff", return_value=0),
            patch.object(agent, "_try_activate_fallback", return_value=False) as fallback,
        ):
            result = agent.run_conversation("answer me")
    
>       fallback.assert_not_called()

tests/run_agent/test_run_agent.py:3762: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <MagicMock name='_try_activate_fallback' id='138731947795408'>

    def assert_not_called(self):
        """assert that the mock was never called.
        """
        if self.call_count != 0:
            msg = ("Expected '%s' to not have been called. Called %s times.%s"
                   % (self._mock_name or 'mock',
                      self.call_count,
                      self._calls_repr()))
>           raise AssertionError(msg)
E           AssertionError: Expected '_try_activate_fallback' to not have been called. Called 1 times.
E           Calls: [call()].

/home/kensei/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/lib/python3.11/unittest/mock.py:900: AssertionError
------------------------------ Captured log setup ------------------------------
INFO     run_agent:agent_runtime_helpers.py:1759 OpenAI client created (agent_init, shared=True) thread=MainThread:138732104402752 provider= base_url=https://openrouter.ai/api/v1 model=
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browser-use' registered browser provider: browser-use
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browserbase' registered browser provider: browserbase
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-firecrawl' registered browser provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered image_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered image_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'krea' registered image_gen provider: krea
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'meta-ai-image-gen' registered image_gen provider: meta-ai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai' registered image_gen provider: openai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai-codex' registered image_gen provider: openai-codex
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: openrouter
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: nous
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered image_gen provider: xai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered video_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered video_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered video_gen provider: xai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-brave-free' registered web provider: brave-free
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-ddgs' registered web provider: ddgs
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-exa' registered web provider: exa
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-firecrawl' registered web provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-keenable' registered web provider: keenable
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-parallel' registered web provider: parallel
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-perplexity' registered web provider: perplexity
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-searxng' registered web provider: searxng
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-tavily' registered web provider: tavily
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-xai' registered web provider: xai
INFO     hermes_cli.plugins:plugins.py:1451 Plugin discovery complete: 64 found, 51 enabled
INFO     agent.model_metadata:model_metadata.py:1873 No model id provided for context length resolution — defaulting to 256,000 tokens.
----------------------------- Captured stdout call -----------------------------
⚠️ Empty response from model — retrying (1/3) in 0s
⚠️ Model is repeatedly returning empty content — skipping further retries to avoid repeat charges
⚠️ Model returning empty responses — switching to fallback provider...
❌ Model returned no content after all retries and fallback attempts.
------------------------------ Captured log call -------------------------------
INFO     agent.turn_context:turn_context.py:842 conversation turn: session=20260908_021744_ac7e1d model=qwen3.8-27b provider=custom platform=unknown history=0 msg='answer me'
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-48 (<lambda>):138731705067200 provider=custom base_url=http://127.0.0.1:1234/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #1: model=qwen3.8-27b provider=custom in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:68 Empty response (no content or reasoning) — retry 1/3 in 0.0s (model=qwen3.8-27b)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-49 (<lambda>):138731705067200 provider=custom base_url=http://127.0.0.1:1234/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #2: model=qwen3.8-27b provider=custom in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:257 Repeated empty response detected (model=qwen3.8-27b provider=custom finish_reason=stop) — skipping remaining retries
WARNING  agent.conversation_loop:turn_empty_response.py:269 Empty response after 1 retries — attempting fallback (model=qwen3.8-27b, provider=custom)
WARNING  agent.conversation_loop:turn_empty_response.py:114 Empty response (no content or reasoning) after 1 retries. No fallback available. model=qwen3.8-27b provider=custom
INFO     agent.conversation_loop:turn_finalizer.py:334 Turn ended: reason=empty_response_exhausted model=qwen3.8-27b api_calls=2/9223372036854775807 budget=2/9223372036854775807 tool_turns=0 last_msg_role=assistant response_len=7 session=20260908_021744_ac7e1d
_ TestRunConversation.test_explicit_turbohaul_empty_exhaustion_stays_local[Turbohaul Local-custom] _

self = <tests.run_agent.test_run_agent.TestRunConversation object at 0x7e2d10c9a490>
agent = <run_agent.AIAgent object at 0x7e2d0c7e8650>
provider = 'Turbohaul Local', requested_provider = 'custom'

    @pytest.mark.parametrize(
        ("provider", "requested_provider"),
        [
            ("custom:turbohaul-local", "custom:turbohaul-local"),
            ("custom", "custom:turbohaul-local"),
            ("Turbohaul Local", "custom"),
        ],
    )
    def test_explicit_turbohaul_empty_exhaustion_stays_local(
        self, agent, provider, requested_provider,
    ):
        """An explicit turbohaul-local selection must fail locally, not use cloud fallback."""
        self._setup_agent(agent)
        agent.model = "qwen3.8-27b"
        agent.provider = provider
        agent.requested_provider = requested_provider
        agent.base_url = "http://127.0.0.1:1234/v1"
        agent._model_explicitly_selected = True
        agent._fallback_chain = [
            {"provider": "nvidia", "model": "moonshotai/kimi-k2.5"},
        ]
        agent._fallback_index = 0
        agent._fallback_activated = False
        empty_resp = _mock_response(content=None, finish_reason="stop")
        agent.client.chat.completions.create.side_effect = [empty_resp] * 4
    
        with (
            patch.object(agent, "_persist_session"),
            patch.object(agent, "_save_trajectory"),
            patch.object(agent, "_cleanup_task_resources"),
            patch("agent.conversation_loop.jittered_backoff", return_value=0),
            patch.object(agent, "_try_activate_fallback", return_value=False) as fallback,
        ):
            result = agent.run_conversation("answer me")
    
>       fallback.assert_not_called()

tests/run_agent/test_run_agent.py:3762: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <MagicMock name='_try_activate_fallback' id='138731690155408'>

    def assert_not_called(self):
        """assert that the mock was never called.
        """
        if self.call_count != 0:
            msg = ("Expected '%s' to not have been called. Called %s times.%s"
                   % (self._mock_name or 'mock',
                      self.call_count,
                      self._calls_repr()))
>           raise AssertionError(msg)
E           AssertionError: Expected '_try_activate_fallback' to not have been called. Called 1 times.
E           Calls: [call()].

/home/kensei/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/lib/python3.11/unittest/mock.py:900: AssertionError
------------------------------ Captured log setup ------------------------------
INFO     run_agent:agent_runtime_helpers.py:1759 OpenAI client created (agent_init, shared=True) thread=MainThread:138732104402752 provider= base_url=https://openrouter.ai/api/v1 model=
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browser-use' registered browser provider: browser-use
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browserbase' registered browser provider: browserbase
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-firecrawl' registered browser provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered image_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered image_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'krea' registered image_gen provider: krea
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'meta-ai-image-gen' registered image_gen provider: meta-ai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai' registered image_gen provider: openai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai-codex' registered image_gen provider: openai-codex
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: openrouter
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: nous
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered image_gen provider: xai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered video_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered video_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered video_gen provider: xai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-brave-free' registered web provider: brave-free
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-ddgs' registered web provider: ddgs
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-exa' registered web provider: exa
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-firecrawl' registered web provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-keenable' registered web provider: keenable
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-parallel' registered web provider: parallel
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-perplexity' registered web provider: perplexity
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-searxng' registered web provider: searxng
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-tavily' registered web provider: tavily
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-xai' registered web provider: xai
INFO     hermes_cli.plugins:plugins.py:1451 Plugin discovery complete: 64 found, 51 enabled
INFO     agent.model_metadata:model_metadata.py:1873 No model id provided for context length resolution — defaulting to 256,000 tokens.
----------------------------- Captured stdout call -----------------------------
⚠️ Empty response from model — retrying (1/3) in 0s
⚠️ Model is repeatedly returning empty content — skipping further retries to avoid repeat charges
⚠️ Model returning empty responses — switching to fallback provider...
❌ Model returned no content after all retries and fallback attempts.
------------------------------ Captured log call -------------------------------
INFO     agent.turn_context:turn_context.py:842 conversation turn: session=20260908_021744_e4ee3c model=qwen3.8-27b provider=Turbohaul Local platform=unknown history=0 msg='answer me'
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-50 (<lambda>):138731705067200 provider=Turbohaul Local base_url=http://127.0.0.1:1234/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #1: model=qwen3.8-27b provider=Turbohaul Local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:68 Empty response (no content or reasoning) — retry 1/3 in 0.0s (model=qwen3.8-27b)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-51 (<lambda>):138731705067200 provider=Turbohaul Local base_url=http://127.0.0.1:1234/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #2: model=qwen3.8-27b provider=Turbohaul Local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:257 Repeated empty response detected (model=qwen3.8-27b provider=Turbohaul Local finish_reason=stop) — skipping remaining retries
WARNING  agent.conversation_loop:turn_empty_response.py:269 Empty response after 1 retries — attempting fallback (model=qwen3.8-27b, provider=Turbohaul Local)
WARNING  agent.conversation_loop:turn_empty_response.py:114 Empty response (no content or reasoning) after 1 retries. No fallback available. model=qwen3.8-27b provider=Turbohaul Local
INFO     agent.conversation_loop:turn_finalizer.py:334 Turn ended: reason=empty_response_exhausted model=qwen3.8-27b api_calls=2/9223372036854775807 budget=2/9223372036854775807 tool_turns=0 last_msg_role=assistant response_len=7 session=20260908_021744_e4ee3c
_ TestRunConversation.test_explicit_turbohaul_thinking_exhaustion_stays_local __

self = <tests.run_agent.test_run_agent.TestRunConversation object at 0x7e2d10c9a990>
agent = <run_agent.AIAgent object at 0x7e2d114a8f50>

    def test_explicit_turbohaul_thinking_exhaustion_stays_local(self, agent):
        """Reasoning-only exhaustion is covered by the same no-cloud lock."""
        self._setup_agent(agent)
        agent.model = "qwen3.8-27b"
        agent.provider = "custom:turbohaul-local"
        agent.requested_provider = "custom:turbohaul-local"
        agent._model_explicitly_selected = True
        agent._fallback_chain = [{"provider": "nvidia", "model": "fallback-model"}]
        reasoning_only = _mock_response(
            content="", reasoning="Still thinking without a visible answer."
        )
        agent.client.chat.completions.create.side_effect = [reasoning_only] * 6
    
        with (
            patch.object(agent, "_persist_session"),
            patch.object(agent, "_save_trajectory"),
            patch.object(agent, "_cleanup_task_resources"),
            patch("agent.conversation_loop.jittered_backoff", return_value=0),
            patch.object(agent, "_try_activate_fallback", return_value=False) as fallback,
        ):
            result = agent.run_conversation("answer me")
    
>       fallback.assert_not_called()

tests/run_agent/test_run_agent.py:3793: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <MagicMock name='_try_activate_fallback' id='138731951035088'>

    def assert_not_called(self):
        """assert that the mock was never called.
        """
        if self.call_count != 0:
            msg = ("Expected '%s' to not have been called. Called %s times.%s"
                   % (self._mock_name or 'mock',
                      self.call_count,
                      self._calls_repr()))
>           raise AssertionError(msg)
E           AssertionError: Expected '_try_activate_fallback' to not have been called. Called 1 times.
E           Calls: [call()].

/home/kensei/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/lib/python3.11/unittest/mock.py:900: AssertionError
------------------------------ Captured log setup ------------------------------
INFO     run_agent:agent_runtime_helpers.py:1759 OpenAI client created (agent_init, shared=True) thread=MainThread:138732104402752 provider= base_url=https://openrouter.ai/api/v1 model=
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browser-use' registered browser provider: browser-use
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browserbase' registered browser provider: browserbase
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-firecrawl' registered browser provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered image_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered image_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'krea' registered image_gen provider: krea
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'meta-ai-image-gen' registered image_gen provider: meta-ai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai' registered image_gen provider: openai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai-codex' registered image_gen provider: openai-codex
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: openrouter
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: nous
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered image_gen provider: xai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered video_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered video_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered video_gen provider: xai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-brave-free' registered web provider: brave-free
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-ddgs' registered web provider: ddgs
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-exa' registered web provider: exa
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-firecrawl' registered web provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-keenable' registered web provider: keenable
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-parallel' registered web provider: parallel
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-perplexity' registered web provider: perplexity
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-searxng' registered web provider: searxng
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-tavily' registered web provider: tavily
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-xai' registered web provider: xai
INFO     hermes_cli.plugins:plugins.py:1451 Plugin discovery complete: 64 found, 51 enabled
INFO     agent.model_metadata:model_metadata.py:1873 No model id provided for context length resolution — defaulting to 256,000 tokens.
----------------------------- Captured stdout call -----------------------------
↻ Thinking-only response — prefilling to continue (1/2)
↻ Thinking-only response — prefilling to continue (2/2)
⚠️ Empty response from model — retrying (1/3) in 0s
⚠️ Empty response from model — retrying (2/3) in 0s
⚠️ Empty response from model — retrying (3/3) in 0s
⚠️ Model returning empty responses — switching to fallback provider...
⚠️ Model produced reasoning but no visible response after all retries. Returning empty.
------------------------------ Captured log call -------------------------------
INFO     agent.turn_context:turn_context.py:842 conversation turn: session=20260908_021745_e4a9dc model=qwen3.8-27b provider=custom:turbohaul-local platform=unknown history=0 msg='answer me'
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-52 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=https://openrouter.ai/api/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #1: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
INFO     agent.conversation_loop:turn_empty_response.py:231 Thinking-only response (no visible content) — prefilling to continue (1/2)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-53 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=https://openrouter.ai/api/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #2: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
INFO     agent.conversation_loop:turn_empty_response.py:231 Thinking-only response (no visible content) — prefilling to continue (2/2)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-54 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=https://openrouter.ai/api/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #3: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:68 Empty response (no content or reasoning) — retry 1/3 in 0.0s (model=qwen3.8-27b)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-55 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=https://openrouter.ai/api/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #4: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:68 Empty response (no content or reasoning) — retry 2/3 in 0.0s (model=qwen3.8-27b)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-56 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=https://openrouter.ai/api/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #5: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:68 Empty response (no content or reasoning) — retry 3/3 in 0.0s (model=qwen3.8-27b)
INFO     run_agent:client_lifecycle.py:130 OpenAI client closed (request_complete, shared=False, tcp_force_closed=0) thread=Thread-57 (<lambda>):138731705067200 provider=custom:turbohaul-local base_url=https://openrouter.ai/api/v1 model=qwen3.8-27b
INFO     agent.conversation_loop:turn_usage.py:84 API call #6: model=qwen3.8-27b provider=custom:turbohaul-local in=? out=? total=? latency=0.0s usage=unavailable
WARNING  agent.conversation_loop:turn_empty_response.py:269 Empty response after 3 retries — attempting fallback (model=qwen3.8-27b, provider=custom:turbohaul-local)
WARNING  agent.conversation_loop:turn_empty_response.py:128 Reasoning-only response (no visible content) after exhausting retries and fallback. Reasoning: Still thinking without a visible answer.
INFO     agent.conversation_loop:turn_finalizer.py:334 Turn ended: reason=empty_response_exhausted model=qwen3.8-27b api_calls=6/9223372036854775807 budget=6/9223372036854775807 tool_turns=0 last_msg_role=assistant response_len=188 session=20260908_021745_e4a9dc
_ TestRunConversation.test_empty_exhaustion_preserves_existing_fallback_outside_explicit_turbohaul[False-custom-custom:turbohaul-local] _

self = <tests.run_agent.test_run_agent.TestRunConversation object at 0x7e2d10c9b150>
agent = <run_agent.AIAgent object at 0x7e2d0cada410>
explicitly_selected = False, provider = 'custom'
requested_provider = 'custom:turbohaul-local'

    @pytest.mark.parametrize(
        ("explicitly_selected", "provider", "requested_provider"),
        [
            (False, "custom", "custom:turbohaul-local"),
            (True, "custom:other-local", "custom:other-local"),
            (True, "openrouter", "openrouter"),
        ],
    )
    def test_empty_exhaustion_preserves_existing_fallback_outside_explicit_turbohaul(
        self, agent, explicitly_selected, provider, requested_provider,
    ):
        """Automatic turbohaul and every non-turbohaul provider retain fallback behavior."""
        self._setup_agent(agent)
        agent.provider = provider
        agent.requested_provider = requested_provider
        agent._model_explicitly_selected = explicitly_selected
        agent._fallback_chain = [{"provider": "nvidia", "model": "fallback-model"}]
        agent._fallback_index = 0
        agent._fallback_activated = False
        empty_resp = _mock_response(content=None, finish_reason="stop")
        content_resp = _mock_response(content="Fallback answer.", finish_reason="stop")
        agent.client.chat.completions.create.side_effect = [
            empty_resp, empty_resp, empty_resp, empty_resp, content_resp,
        ]
    
        def _activate():
            agent._fallback_activated = True
            agent.provider = "nvidia"
            agent.requested_provider = "nvidia"
            agent.model = "fallback-model"
            agent._fallback_index = 1
            return True
    
        with (
            patch.object(agent, "_persist_session"),
            patch.object(agent, "_save_trajectory"),
            patch.object(agent, "_cleanup_task_resources"),
            patch("agent.conversation_loop.jittered_backoff", return_value=0),
            patch.object(agent, "_try_activate_fallback", side_effect=_activate) as fallback,
        ):
            result = agent.run_conversation("answer me")
    
>       fallback.assert_called_once_with()

tests/run_agent/test_run_agent.py:3862: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <MagicMock name='_try_activate_fallback' id='138731695710224'>, args = ()
kwargs = {}

    def assert_called_once_with(self, /, *args, **kwargs):
        """assert that the mock was called exactly once and that that call was
        with the specified arguments."""
        if not self.call_count == 1:
            msg = ("Expected '%s' to be called once. Called %s times.%s"
                   % (self._mock_name or 'mock',
                      self.call_count,
                      self._calls_repr()))
>           raise AssertionError(msg)
E           AssertionError: Expected '_try_activate_fallback' to be called once. Called 2 times.
E           Calls: [call(), call()].

/home/kensei/.local/share/uv/python/cpython-3.11.15-linux-x86_64-gnu/lib/python3.11/unittest/mock.py:950: AssertionError
------------------------------ Captured log setup ------------------------------
INFO     run_agent:agent_runtime_helpers.py:1759 OpenAI client created (agent_init, shared=True) thread=MainThread:138732104402752 provider= base_url=https://openrouter.ai/api/v1 model=
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browser-use' registered browser provider: browser-use
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browserbase' registered browser provider: browserbase
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-firecrawl' registered browser provider: firecrawl
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered image_gen provider: deepinfra
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered image_gen provider: fal
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'krea' registered image_gen provider: krea
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'meta-ai-image-gen' registered image_gen provider: meta-ai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai' registered image_gen provider: openai
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai-codex' registered image_gen provider: openai-codex
INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: openrouter
